wavelength,cloudy_day,snow_and_sun,partly_cloudy_day
Date,09/01/2019,19/01/2017,01/10/2019
Time,12:00:00,12:00:00,12:00:00
Memo,A180 I00,A180 I00,A180 I00
Sensor,MS-711,MS-711,MS-711
Exposure Time(msec),200,100,100
Sensor Temp.(deg),24.4,24.4,25.2
Power(V),5.9,5.9,5.9
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um)
454.4,217.57,541.23,959.65
454.82,217.82,541.69,961.78
455.24,218.26,543.17,964.66
455.67,218.15,543.15,966.05
456.09,217.88,542.76,965.36
456.51,217.89,543.13,966.92
456.94,218.75,544.79,968.81
457.36,219.56,546.94,971.66
457.78,219.22,547.06,973.35
458.2,219.36,547.42,975.05
458.63,220.15,549.34,978.94
459.05,221.01,552.05,982.66
459.47,221.75,553.47,985.06
459.89,221.61,552.59,987.54
460.32,222.09,553.62,990.26
460.74,222.86,555.34,993.16
461.16,222.82,555.8,995.14
461.58,222.74,556.1,996.73
462.01,222.72,556.6,998.57
462.43,223.71,557.84,1001.4
462.85,224.13,559.15,1003.64
463.27,223.42,558.63,1004.47
463.7,223.1,557.77,1004.24
464.12,223.67,558.91,1004.54
464.54,223.87,560.16,1004.83
464.96,223.65,559.66,1004.62
465.38,222.88,557.01,1004.05
465.81,222.52,555.92,1003.37
466.23,222.53,556.69,1003.28
466.65,221.49,555.33,1001.41
467.07,220.23,553.59,998.12
467.5,219.61,552.14,995.06
467.92,220.01,551.51,993.46
468.34,220.14,551.52,993.88
468.76,218.71,550.38,992.01
469.18,218.31,549.3,989.97
469.61,218.73,550.29,989.81
470.03,218.89,552.3,989.61
470.45,218.66,552.88,989.36
470.87,218.3,551.89,989.58
471.29,218.74,552.45,990.55
471.72,219.37,554.67,992.53
472.14,219.02,555.51,993.94
472.56,218.63,555.95,993.87
472.98,218.97,555.89,994.39
473.4,220.65,557.53,998.42
473.83,221.32,559.36,1002.14
474.25,220.03,559.01,1001.74
474.67,219.82,559.56,1001.03
475.09,220.81,561.1,1002.72
475.51,221.2,563.32,1005.08
475.93,221.28,563.66,1005.57
476.36,220.52,561.5,1005.2
476.78,220.94,561.94,1008.56
477.2,221.67,564.72,1012.56
477.62,220.91,566.15,1011.99
478.04,220.2,565.91,1011.09
478.46,220.65,565.82,1011.41
478.89,221.97,567.71,1015.27
479.31,222.24,569.3,1018.53
479.73,220.75,569.01,1017.49
480.15,220.62,569.36,1019.09
480.57,221.83,571.13,1022.58
480.99,222.41,571.57,1024.37
481.41,221.96,570.64,1023.44
481.84,220.86,567.74,1020.56
482.26,220.63,566.91,1022.07
482.68,220.94,566.67,1023.8
483.1,219.72,565.19,1020.1
483.52,218.41,560.74,1014.88
483.94,217.44,555.89,1012.47
484.36,217.21,552.07,1008.07
484.78,215.65,548.81,1001.18
485.21,212.61,544.45,989.97
485.63,210.66,540.98,982.28
486.05,210.09,538.94,976.9
486.47,209.17,536.96,967.97
486.89,208.02,534.72,960.6
487.31,206.3,532.63,955.65
487.73,206.19,532.07,954.34
488.15,206.46,533.68,954.62
